Pacific-W Antarcticaa	6ny	19.05	73.71	-70.94	15.95	1.41	2.02E-008	8.76E-009	2.31E-008	1.18E-008	1.65E-008	4.44E-008	84	8	2	65	Croon et al 2008
Pacific-W Antarcticaa	6no	20.13	74	-70.16	16.73	1.93	2.00E-008	8.48E-009	2.37E-008	1.13E-008	1.54E-008	4.65E-008	77	7	2	60	Croon et al 2008
Pacific-W Antarcticaa	6An.2nm	21.16	74.13	-70.09	17.38	2.66	1.68E-008	7.96E-009	2.09E-008	1.14E-008	1.58E-008	4.36E-008	75	7	2	58	Croon et al 2008
Pacific-W Antarcticaa	6nB.2no	23.07	74.39	-69.73	18.68	2.83	3.51E-008	1.83E-008	4.07E-008	1.95E-008	1.71E-008	9.31E-008	81	7	2	64	Croon et al 2008
Pacific-W Antarcticaa	6Cn.3nm	24.06	74.48	-69.58	19.35	2.08	2.33E-008	1.21E-008	2.56E-008	1.36E-008	1.77E-008	4.59E-008	80	6	2	65	Croon et al 2008
Pacific-W Antarcticaa	7n.2ny	24.84	74.51	-69.66	19.92	2.45	3.89E-008	1.35E-008	6.05E-008	1.82E-008	4.16E-009	1.86E-008	87	7	2	70	Croon et al 2008
Pacific-W Antarcticaa	8n.1ny	25.82	74.5	-69.84	20.63	2.03	4.18E-008	2.23E-008	4.20E-008	2.04E-008	2.35E-008	6.79E-008	80	7	2	63	Croon et al 2008
Pacific-W Antarcticaa	8n.2no	26.55	74.51	-69.81	21.18	1.12	2.73E-008	1.51E-008	3.01E-008	1.63E-008	2.13E-008	5.22E-008	87	7	2	70	Croon et al 2008
Pacific-W Antarcticaa	9ny	27.03	74.46	-69.9	21.53	1.3	2.75E-008	1.54E-008	3.04E-008	1.64E-008	2.03E-008	5.38E-008	80	7	2	63	Croon et al 2008
Pacific-W Antarcticaa	9no	27.97	74.4	-69.75	22.23	1.3	2.42E-008	1.44E-008	2.63E-008	1.57E-008	2.08E-008	4.34E-008	91	7	2	74	Croon et al 2008
Pacific-W Antarcticaa	10n.1ny	28.28	74.41	-69.5	22.58	1.58	2.13E-008	1.32E-008	2.28E-008	1.51E-008	2.03E-008	3.88E-008	94	8	2	75	Croon et al 2008
Pacific-W Antarcticaa	10n.2no	28.75	74.33	-69.54	22.95	2.92	2.33E-008	1.32E-008	2.48E-008	1.36E-008	1.77E-008	3.95E-008	97	8	2	78	Croon et al 2008
Pacific-W Antarcticaa	11n.1ny	29.4	74.38	-68.71	23.66	2.2	1.81E-008	1.09E-008	2.14E-008	1.42E-008	1.91E-008	4.16E-008	96	9	2	75	Croon et al 2008
Pacific-W Antarcticaa	11n.2no	30.1	74.33	-68.43	24.23	1.12	1.94E-008	9.60E-009	2.34E-008	1.25E-008	1.67E-008	4.75E-008	92	9	2	71	Croon et al 2008
Pacific-W Antarcticaa	12ny	30.48	74.37	-67.75	24.71	2.67	1.97E-008	1.00E-008	2.10E-008	1.30E-008	1.74E-008	3.88E-008	82	8	2	63	Croon et al 2008
Pacific-W Antarcticaa	12no	30.94	74.32	-67.59	25.06	1.15	1.92E-008	1.00E-008	1.99E-008	1.30E-008	1.74E-008	3.95E-008	79	8	2	60	Croon et al 2008
